ISO,Continent,Groups,EEZ Area (km²),Saltmarshes Area (km²),Seagrasses Area (km²),Mangroves Area (km²),Total BCEs Area (km²),Saltmarshes Sequestration (tC),Saltmarshes SE,Seagrasses Sequestration (tC),Seagrasses SE,Mangroves Sequestration (tC),Mangroves SE,Total BCEs Sequestration (tC),Total BCEs SE (tC),BCP Sequestration (tC),Total Blue Carbon Sequestration (tC),Total Blue Carbon Sequestration SE
MMR,Asia,LDCs,1165256.57,,2933.5359685211,5319.8569842173,8253.3929527384,,,641748.5,4061.4082906878566,985590.25,8645.391125225646,1627338.625,9544.28692661948,4548515.0,6175854.0,9544.28692661948
NAM,Africa,Developing economies,1386405.326,,,,,,,,,,,,,14000000.0,14000000.0,0.0
NRU,Oceania,SIDS,309282.8981,,,,,,,,,,,,,2013181.0,2013180.5,0.003535622297595
UM-76,Caribbean,,13895.46578,,,,,,,,,,,,,,,
NPL,Asia,LDCs,147296.9028,,,,,,,,,,,,,,,
NLD,Europe,Developed economies,99460.48933,151.2944475334,1.1224619492,,152.41690948259998,25417.465,1.3811024599980809e-05,245.5528717041016,1.5540208328839906,,,25663.01953125,1.554020781402054,563712.0,589375.0,1.5540198547269093
NCL,Oceania,SIDS,1198282.794,,1469.2951856795,334.8082100499,1804.1033957294,,,321427.09375,2034.202893502975,62028.68,544.1025678078488,383455.75,2104.6322629274946,,383455.75,2104.6322629274946
NZL,Oceania,Developed economies,4374135.887,168.1917636481,,277.2352916621,445.4270553102,28256.217,1.3811024599980809e-05,,,51362.363,450.53984435959467,79618.578125,450.5398676345262,35752087.0,35831708.0,450.5398676345262
NIC,Americas,Developing economies,341809.2869,,5532.4201101315,743.4585878993,6275.8786980308005,,,1210287.5,7659.498932992546,137737.84,1208.2074619462485,1348025.375,7751.750071097038,2565473.0,3913498.25,7751.750071097038
NER,Africa,LDCs,1181112.974,,,,,,,,,,,,,,,
NGA,Africa,Developing economies,1087016.427,,8829.3065752691,8392.5148781293,17221.8214533984,,,1931523.625,12223.957275235804,1554850.2,13638.820314213088,3486374.0,18296.36098285899,2000000.0,5486374.0,18296.361569749188
NIU,Oceania,SIDS,318407.1764,,,,,,,,,,,,,514955.0,514955.0,0.0
NFK,Oceania,Developed economies,430640.4739,,,,,,,,,,,,,,,
PRK,Asia,Developing economies,236798.6621,4.9118865079,,,4.9118865079,825.197,4.3159451874940027e-07,,,,,825.197021484375,4.3159451874940027e-07,,825.197021484375,4.3159451874940027e-07
MNP,Oceania,SIDS,764117.3579,0.0016172742,,,0.0016172742,0.27170208,0.0,,,,,0.2717020809650421,0.0,,0.2717020809650421,0.0
NOR,Europe,Developed economies,1256754.973,,62.2705825703,,62.2705825703,,,13622.486328125,86.2120852851992,,,13622.486328125,86.2120852851992,10771371.0,10784993.0,86.2120624789005
TL-OE,Asia,,2578.265425,,,1.9302585377,1.9302585377,,,,,357.6119,3.136896479958543,357.6119079589844,3.136896479958543,,357.6119079589844,3.136896479958543
OMN,Asia,Developing economies,864660.6732,,,1.3646663791,1.3646663791,,,,,252.8267,2.2177427441306072,252.8267059326172,2.2177427441306072,14782091.0,14782344.0,2.217731993898234
,,,397679.20127356,,,,,,,,,,,,,,,
PAK,Asia,Developing economies,1096403.603,,,777.4546405073,777.4546405073,,,,,144036.17,1263.454987067231,144036.171875,1263.454987067231,3384331.0,3528367.25,1263.454987067231
PLW,Oceania,SIDS,616992.7204,,727.4325533265,56.9219440142,784.3544973407,,,159135.171875,1007.1123889657003,10545.719,92.50483347853152,169680.890625,1011.1624323402588,2529223.0,2698903.75,1011.1624323402588
PSE,Asia,Developing economies,7372.715335,,,,,,,,,,,,,,,
UMI-4,Oceania,Developed economies,353675.8936,,,,,,,,,,,,,,,
PAN,Americas,Developing economies,406250.2226,,1791.3001132113,1528.2358256176,3319.5359388289,,,391869.78125,2480.0109679316283,283130.62,2483.562380264324,675000.4375,3506.166421758473,3835240.0,4510240.5,3506.166421758473
PNG,Oceania,SIDS,2861551.097,,9227.2574378643,4492.6365050735,13719.8939429378,,,2018580.5,12774.911043505215,832334.25,7301.061326154543,2850914.75,14701.02800733641,12196339.0,15047254.0,14701.02800733641
PRY,Americas,Developing economies,400752.4479000001,,,,,,,,,,,,,,,
ES-PER,Africa,,0.785737099,,,,,,,,,,,,,,,
PER,Americas,Developing economies,2146765.779,282.6696741037,,54.1852527689,336.8549268726,47488.504,2.7622049199961617e-05,,,10038.702,88.05738985863387,57527.20703125,88.05738985863387,45278430.0,45335956.0,88.05744940094364
ES-PVG,Africa,,3.738562293,,,,,,,,,,,,,,,
PHL,Asia,Developing economies,2260600.759,,14946.0027147582,2820.259491479,17766.2622062372,,,3269629.25,20692.372652672155,522499.06,4583.252402869785,3792128.5,21184.67440581984,5609099.0,9401227.0,21184.67440581984
PCN,Oceania,Developing economies,842344.1991,,,,,,,,,,,,,,,
POL,Europe,Developed economies,342427.1866,,2.6594927668,,2.6594927668,,,581.7979736328125,3.682002164176014,,,581.7979736328125,3.682002164176014,,581.7979736328125,3.682002164176014
PRT,Europe,Developed economies,404204.1673,198.9353711863,0.0380443627,,198.97341554899998,33421.133,5.524409839992324e-05,8.322690963745117,0.0526714815080059,,,33429.46484375,0.0526713598752448,12403497.0,12436927.0,0.0528486721603055
ZA-PE,Oceania,,475239.5011,,,,,,,,,,,,,,,
PRI,Caribbean,SIDS,163631.3489,58.4387261237,600.654661828,81.9958562891,741.0892442408001,9817.706,0.0,131400.890625,831.5915634659249,15191.07,133.2528830933974,156409.65625,841.9294126293443,,156409.65625,841.9294126293443
QAT,Asia,Developing economies,42976.44118,,1147.2089035422,4.595108877,1151.8040124192,,,250966.609375,1588.2823388317431,851.3189,7.467590846159977,251817.90625,1588.2846100143515,,251817.90625,1588.2846100143515
MUS,Africa,SIDS,1280968.84,,131.8322677674,3.9624566903,135.7947244577,,,28839.994140625,182.51853813385128,734.10974,6.439456751167951,29574.10546875,182.61885985625568,7000000.0,7029574.0,182.6188670339673
COG,Africa,Developing economies,376110.1204,,,20.5416266422,20.5416266422,,,,,3805.6711,33.382549904581985,3805.671142578125,33.382549904581985,1000000.0,1003805.6875,33.382548677532256
ROU,Europe,Developed economies,267907.8796,54.7212770144,,,54.7212770144,9193.173,6.905512299990404e-06,,,,,9193.1728515625,6.905512299990404e-06,,9193.1728515625,6.905512299990404e-06
RUS,Europe,Developed economies,24610608.92,7043.8960256472,680.0401280493,,7723.9361536965,1183374.2,0.0017678111487975,148767.46875,941.4987384098404,,,1332142.0,941.4987384098404,46459217.0,47791356.0,941.4987384098404
RWA,Africa,LDCs,25315.45209,,,,,,,,,,,,,,,
REU,,,317665.1825,,,,,,,,,,,,,,,
BES-2,Caribbean,Developing economies,9501.573907,,0.6132910815,,0.6132910815,,,134.16525268554688,0.8490863603794192,,,134.16525268554688,0.8490863603794192,,134.16525268554688,0.8490863603794192
SHN-2,Africa,Developing economies,449352.0558,,,,,,,,,,,,,,,
KNA,Caribbean,SIDS,9768.631729,,60.0867798917,0.3468710985,60.4336509902,,,13144.7509765625,83.18866426102223,64.263535,0.5637062251167817,13209.0146484375,83.1894127047385,23300.0,36509.01171875,83.18941664389814
LCA,Caribbean,SIDS,16027.46852,,6.6136956423,1.6215341376,8.2352297799,,,1446.8304443359375,9.156498129355985,300.41565,2.6351830618551864,1747.2459716796875,9.522941289356982,61099.99999999999,62847.24609375,9.522941289356982
VCT,Caribbean,SIDS,36640.77601,,,0.3255645546,0.3255645546,,,,,60.316143,0.5290805952913182,60.31614303588867,0.5290805952913182,180854.0,180914.3125,0.5290805952913182
BLM,Caribbean,Developing economies,4203.437535,,16.8932475997,,16.8932475997,,,3695.613525390625,23.38828467487519,,,3695.613525390625,23.38828467487519,,3695.613525390625,23.38828467487519
SPM,Americas,Developed economies,12640.74524,,,,,,,,,,,,,,,
WSM,Oceania,SIDS,133333.9137,,982.8710169627,2.314155737,985.1851726996999,,,215015.578125,1360.7607291547256,428.7351,3.7607744696047063,215444.328125,1360.7581398715354,272057.0,487501.3125,1360.7581398715354
SMR,Europe,Developed economies,58.46616607,,,,,,,,,,,,,,,
STP,Africa,SIDS,131846.4427,,,0.4838520661,0.4838520661,,,,,89.64148,0.7863163451625137,89.6414794921875,0.7863163451625137,3000000.0,3000089.5,0.7863160907991978
BLZ-2,Americas,SIDS,1449.95064,,208.8283875165,,208.8283875165,,,45683.87890625,289.11775623328367,,,45683.87890625,289.11775623328367,,45683.87890625,289.11775623328367
SAU,Asia,Developing economies,2149313.361,,20982.6977499275,69.3923174465,21052.090067374003,,,4590233.0,29050.026766290917,12856.06,112.77065367149592,4603089.0,29050.01345936777,,4603089.0,29050.01345936777
SEN,Africa,LDCs,353554.9855,,1482.0112378299,,1482.0112378299,,,324208.90625,2051.8079783661537,,,324208.90625,2051.8079783661537,3000000.0,3324208.75,2051.8079783661537
JP,Asia,,73800.91173,,,,,,,,,,,,,,,
SRB,Europe,Developed economies,88332.90221,,,,,,,,,,,,,,,
CO-SR,Caribbean,,2842.327632,,,,,,,,,,,,,,,
CO-SL,Caribbean,,1553.311591,,,,,,,,,,,,,,,
SYC,Africa,SIDS,1342014.332,,,3.8298136769,3.8298136769,,,,,709.5355,6.22389646799834,709.5355224609375,6.22389646799834,17000000.0,17000710.0,6.223905928775796
SLE,Africa,LDCs,232907.7396,,4411.0989118676,1508.2259567574,5919.324868625,,,964984.3125,6107.057858486663,279423.44,2451.0440182857465,1244407.75,6575.880911049613,2000000.0,3244407.5,6575.880706933324
SGP,Asia,SIDS,1377.156656,,119.530559041,6.9701526733,126.50071171430001,,,26148.8359375,165.48710746332122,1291.3345,11.327315913502645,27440.171875,165.85107852930128,0.0799,27440.25,165.85107852930128
BES-3,Caribbean,Developing economies,2199.099395,,1.2888806866,,1.2888806866,,,281.9591369628906,1.784423584347735,,,281.9591369628906,1.784423584347735,,281.9591369628906,1.784423584347735
SXM,Caribbean,SIDS,504.6385051,,24.0978992544,0.0539361904,24.151835444800003,,,5271.72314453125,33.36294693805419,9.992559,0.0876526334413716,5281.71533203125,33.36288063837151,,5281.71533203125,33.36288063837151
SVK,Europe,Developed economies,49037.64322,,,,,,,,,,,,,,,
SVN,Europe,Developed economies,20436.23849,2.2113830746,0.0849964019,,2.2963794765,371.51236,0.0,18.59404754638672,0.1176754217126234,,,390.1064147949219,0.1176754217126234,,390.1064147949219,0.1176754217126234
SLB,Oceania,SIDS,1631260.53,,1253.8889659394,525.650041244,1779.5390071834,,,274304.21875,1735.978166998161,97385.24,854.2429174040466,371689.46875,1933.1973514649312,6872945.0,7244634.5,1933.1974382540764
ZAF,Africa,Developing economies,2292218.116,61.2951236623,405.561115167,26.5433526972,493.39959152650005,10297.58,6.905512299990404e-06,88721.6796875,561.4893824998056,4917.589,43.13605858093081,103936.84375,563.0554273073931,15000000.0,15103938.0,563.0554273073931
SGS,Americas,Developing economies,1241743.427,,,,,,,,,,,,,,,
KOR,Asia,Developed economies,448099.2543,,,,,,,,,,,,,1855368.0,1855368.0,0.0
SSD,Africa,LDCs,632552.3626,,,,,,,,,,,,,,,
ESP,Europe,Developed economies,1060247.985,881.5859162822,1037.8186489336,,1919.4045652157997,148106.47,0.0002209763935996,227036.078125,1436.8342553088933,,,375142.5,1436.8342553088933,11421840.0,11796982.0,1436.8342553088933
LKA,Asia,Developing economies,599363.0095,,2867.8565481386,181.1910531588,3049.0476012974,,,627380.25,3970.476445563429,33568.594,294.45671417318044,660948.8125,3980.776337143959,7658827.0,8319775.5,3980.776337143959
SDN,Africa,LDCs,1915608.674,,4439.9415764222,6.3654840695,4446.3070604917,,,971293.875,6146.988983606213,1179.3099,10.34465842635212,972473.125,6146.976755544486,,972473.125,6146.976755544486
SUR,Americas,SIDS,278588.9878,,,806.2228176422,806.2228176422,,,,,149365.94,1310.2066578129377,149365.9375,1310.2066578129377,699754.0,849119.875,1310.2066578129377
SJM-2,Europe,Developed economies,857624.7462000002,,,,,,,,,,,,,,,
SWZ,Africa,Developing economies,17367.387,,,,,,,,,,,,,,,
SWE,Europe,Developed economies,605471.911,50.0187173763,33.8751010946,,83.8938184709,8403.143,1.3811024599980809e-05,7410.611328125,46.89924584471524,,,15813.7548828125,46.89924584471524,,15813.7548828125,46.89924584471524
CHE,Europe,Developed economies,41270.47734,,,,,,,,,,,,,,,
SYR,Asia,Developing economies,197867.8245,,,,,,,,,,,,,11500.0,11500.0,0.0
TWN,Asia,Developing economies,391613.4811,46.0495839507,1241.9345545891,1.5645513068,1289.5486898466,7736.3286,1.0358268449985606e-05,271689.09375,1719.4277712649605,289.85864,2.542579358739816,279715.25,1719.4243559862578,2564714.0,2844429.25,1719.4243559862578
TJK,Asia,Developing economies,142400.8008,,,,,,,,,,,,,,,
TZA,Africa,LDCs,1182382.508,,45.7689915576,1098.6138344444,1144.382826002,,,10012.5517578125,63.36604203423276,203536.14,1785.3763451623,213548.703125,1786.3703228285322,3000000.0,3213548.5,1786.3702289059277
THA,Asia,Developing economies,812462.5612,,1822.151861586,2505.6032262862,4327.7550878721995,,,398619.0,2522.7242605833767,464203.88,4071.899119260823,862822.8125,4785.6297023363095,339451.0,1202273.75,4785.6297023363095
TGO,Africa,LDCs,72151.4315,,189.8178308684,0.1620513089,189.9798821773,,,41525.07421875,262.7980903164513,30.02265,0.263352373681416,41555.09765625,262.79769129177566,0.0,41555.09765625,262.79769129177566
TKL,Oceania,Developing economies,320755.744,,,,,,,,,,,,,,,
TON,Oceania,SIDS,666812.0242,,3684.5884327113,10.3884450631,3694.9768777744,,,806050.6875,5101.221666563202,1924.629,16.882441736962996,807975.4375,5101.214825382818,1375546.0,2183521.5,5101.214825382818
TTO,Caribbean,SIDS,81719.32345,,1.1171760354,81.893051038,83.01022707339999,,,244.39654541015625,1.546702691036879,15172.022,133.08580805335802,15416.4189453125,133.0916140159329,344084.0,359500.40625,133.0916140159329
BR-ES,Americas,,472492.5991,,,,,,,,,,,,,,,
SHN-3,Africa,Developing economies,758352.7671000002,,,,,,,,,,,,,,,
FR-TRO,Africa,,274562.3249,,,,,,,,,,,,,,,
TUN,Africa,Developing economies,254795.9371,,4988.2407528023,,4988.2407528023,,,1091241.5,6906.096094895575,,,1091241.5,6906.096094895575,1000000.0,2091241.5,6906.096094895575
TUR,Asia,Developing economies,1042327.031,255.955139949,0.260049809,,256.215189758,43000.46,2.7622049199961617e-05,56.88921737670898,0.360032555711367,,,43057.35546875,0.3600326112646723,370398.0,413455.375,0.3600330556908067
TKM,Asia,Developing economies,550026.2555,,,,,,,,,,,,,,,
TCA,Caribbean,SIDS,92016.57957,,951.9578942212,151.8826173705,1103.8405115917,,,208252.9375,1317.962179342013,28138.732,246.8270489937554,236391.6875,1340.3768969654227,,236391.6875,1340.3768969654227
TUV,Oceania,SIDS,753174.5746000002,,,0.0891171497,0.0891171497,,,,,16.510406,0.144825813395994,16.510406494140625,0.144825813395994,2347440.0,2347456.5,0.1448265729650876
UGA,Africa,LDCs,241519.178,,,,,,,,,,,,,,,
UKR,Europe,Developed economies,734668.3492000002,,5963.4948513879,,5963.4948513879,,,1304590.625,8256.311286982409,,,1304590.625,8256.311286982409,,1304590.625,8256.311286982409
ARE,Asia,Developing economies,122931.7161,47.7634807019,1021.6823402571,73.8624741473,1143.3082951063,8024.2656,6.905512299990404e-06,223506.078125,1414.4940020254055,13684.228,120.03517409722464,245214.546875,1419.3319322020934,,245214.546875,1419.3319322020934
GBR,Europe,Developed economies,972473.4921,562.1590147976,149.3221128348,,711.4811276324,94442.71,0.0,32666.119140625,206.7327880085834,,,127108.8359375,206.73277532761884,19729141.0,19856250.0,206.732743625204
USA,Americas,Developed economies,10392443.11,17161.8447007787,,2299.9444099495,19461.7891107282,2883189.2,0.003535622297595,,,426102.2,3737.679236174012,3309292.0,3737.679236174012,79645600.0,82954896.0,3737.679236174012
VIR,Caribbean,SIDS,38636.04954,1.2639190068,83.5975913652,2.5984045131,87.4599148851,212.3384,0.0,18288.0390625,115.73880324838711,481.3968,4.222711854338423,18981.775390625,115.80712606762332,,18981.775390625,115.80712606762332
URY,Americas,Developing economies,320452.6077,24.8173503336,,,24.8173503336,4169.3154,3.452756149995202e-06,,,,,4169.3154296875,3.452756149995202e-06,839758.0,843927.25,0.0004419527871993
UZB,Asia,Developing economies,447320.9324,,,,,,,,,,,,,,,
VUT,Oceania,SIDS,638186.3255,,1237.7259297573,15.7118828801,1253.4378126374,,,270768.34375,1713.6010015227994,2910.8823,25.5336515079212,273679.21875,1713.738756895258,1444133.0,1717812.25,1713.738756895258
VAT,,,0.566205694,,,,,,,,,,,,,,,
VEN,Americas,Developing economies,1383023.211,,1286.2564828806,2858.525647631,4144.7821305116,,,281385.03125,1780.7903068772846,529588.5,4645.439415753626,810973.5,4971.649249322091,,810973.5,4971.649249322091
VNM,Asia,Developing economies,1079093.76,2.579936269,233.6156203233,1840.2533163553,2076.4488729476,433.4292,6.473917781241004e-07,51106.3984375,323.435045338361,340936.94,2990.627284239997,392476.75,3007.4048018280782,4154377.0,4546853.5,3007.4048018280782
UMI-5,Oceania,Developed economies,406978.1513000001,,,,,,,,,,,,,,,
WLF,Oceania,Developing economies,250790.027,,,0.2936241421,0.2936241421,,,,,54.398663,0.4771736211623989,54.39866256713867,0.4771736211623989,,54.39866256713867,0.4771736211623989
ESH,Africa,Developing economies,553988.0766,,,,,,,,,,,,,,,
YEM,Asia,LDCs,980397.204,,5455.8421478658,15.4146862912,5471.256834157,,,1193535.25,7553.479030220437,2855.822,25.05067266821505,1196391.125,7553.469079079357,,1196391.125,7553.469079079357
ZMB,Africa,LDCs,751191.6791,,,,,,,,,,,,,,,
ZWE,Africa,Developing economies,390689.6313,,,,,,,,,,,,,,,
